vendor,java,os,flavor,variant,status,method,source,size_bytes,size_mb,compressed_bytes,compressed_mb,java_home_mb,os_id,os_version_id,os_pretty_name,libc,libc_version,java_version,java_runtime_version,java_vendor,java_vm_name,trivy_os,trivy_eosl,vuln_critical,vuln_high,vuln_medium,vuln_low,vuln_unknown,vuln_total,fixable_critical,fixable_high,fixable_medium,fixable_low,fixable_unknown,fixable_total,base_image,base_digest,built_at,build_seconds,trivy_version,trivy_db_updated,note
redhat,21,ubi9-minimal,jre,updated,ok,official,registry.access.redhat.com/ubi9/openjdk-21-runtime,432189440,432.2,145585583,145.6,222.8,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,7,124,85,0,216,0,0,0,0,0,0,registry.access.redhat.com/ubi9/openjdk-21-runtime,registry.access.redhat.com/ubi9/openjdk-21-runtime@sha256:ff0a095f96c1823453008aef23b98868f3bf723fa0497d68c2fb9b1a27884064,2026-09-15T20:33:28+00:00,6,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,21,ubi9,jdk,updated,ok,repo,java-21-openjdk-devel,512524288,512.5,176264723,176.3,235.4,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,13,180,251,0,444,0,0,0,0,0,0,registry.access.redhat.com/ubi9/ubi:latest,registry.access.redhat.com/ubi9/ubi@sha256:c5cc9c221baa8eb13093f90c31bb58c04d83f6afd14510d3496691f92566f99e,2026-09-15T20:33:36+00:00,10,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,21,ubi9,jre,updated,ok,repo,java-21-openjdk-headless,487960576,488.0,163937977,163.9,222.8,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,10,164,249,0,423,0,0,0,0,0,0,registry.access.redhat.com/ubi9/ubi:latest,registry.access.redhat.com/ubi9/ubi@sha256:c5cc9c221baa8eb13093f90c31bb58c04d83f6afd14510d3496691f92566f99e,2026-09-15T20:33:36+00:00,8,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,21,ubi10-minimal,jdk,base,ok,official,registry.access.redhat.com/ubi10/openjdk-21,378540032,378.5,141712817,141.7,235.4,rhel,10.2,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,2.39,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 10.2,False,0,0,0,0,0,0,0,0,0,0,0,0,registry.access.redhat.com/ubi10/openjdk-21,registry.access.redhat.com/ubi10/openjdk-21@sha256:59f27c01f7978315f84b1e0bc91ca65fb2deffc3734ed7e781390cb1043092f9,2026-09-15T20:33:29+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,21,ubi10-minimal,jdk,updated,ok,official,registry.access.redhat.com/ubi10/openjdk-21,405528576,405.5,150700899,150.7,235.4,rhel,10.2,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,2.39,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 10.2,False,0,0,0,0,0,0,0,0,0,0,0,0,registry.access.redhat.com/ubi10/openjdk-21,registry.access.redhat.com/ubi10/openjdk-21@sha256:59f27c01f7978315f84b1e0bc91ca65fb2deffc3734ed7e781390cb1043092f9,2026-09-15T20:33:31+00:00,3,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,21,ubi10-minimal,jre,base,ok,official,registry.access.redhat.com/ubi10/openjdk-21-runtime,338698240,338.7,118145461,118.1,222.7,rhel,10.2,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,2.39,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 10.2,False,0,0,0,0,0,0,0,0,0,0,0,0,registry.access.redhat.com/ubi10/openjdk-21-runtime,registry.access.redhat.com/ubi10/openjdk-21-runtime@sha256:53fc57721acb1941bef7fcd400e35353dace05087309ff482bb6814714d3095d,2026-09-15T20:33:31+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,21,ubi10-minimal,jre,updated,ok,official,registry.access.redhat.com/ubi10/openjdk-21-runtime,363454464,363.5,126183499,126.2,222.7,rhel,10.2,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,2.39,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 10.2,False,0,0,0,0,0,0,0,0,0,0,0,0,registry.access.redhat.com/ubi10/openjdk-21-runtime,registry.access.redhat.com/ubi10/openjdk-21-runtime@sha256:53fc57721acb1941bef7fcd400e35353dace05087309ff482bb6814714d3095d,2026-09-15T20:33:38+00:00,6,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,21,ubi10,jdk,updated,ok,repo,java-21-openjdk-devel,512106496,512.1,177574653,177.6,235.4,rhel,10.2,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,2.39,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 10.2,False,0,0,0,0,0,0,0,0,0,0,0,0,registry.access.redhat.com/ubi10/ubi:latest,registry.access.redhat.com/ubi10/ubi@sha256:6e3f045f5380e8d8dffaea7e01bf926d2db44aff751048697e780d1253687843,2026-09-15T20:33:47+00:00,11,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,21,ubi10,jre,updated,ok,repo,java-21-openjdk-headless,486326272,486.3,164753902,164.8,222.7,rhel,10.2,Red Hat Enterprise Linux 10.2 (Coughlan),glibc,2.39,21.0.12.1,21.0.12.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 10.2,False,0,0,0,0,0,0,0,0,0,0,0,0,registry.access.redhat.com/ubi10/ubi:latest,registry.access.redhat.com/ubi10/ubi@sha256:6e3f045f5380e8d8dffaea7e01bf926d2db44aff751048697e780d1253687843,2026-09-15T20:33:45+00:00,8,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,25,ubi9-minimal,jdk,base,ok,official,registry.access.redhat.com/ubi9/openjdk-25,490057728,490.1,177203238,177.2,276.9,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,25.0.4.1,25.0.4.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,15,183,92,0,290,0,0,1,0,0,1,registry.access.redhat.com/ubi9/openjdk-25,registry.access.redhat.com/ubi9/openjdk-25@sha256:77a5b8f211a56fbec3df0627bc42560cbed38ce9dd42f2082c1ac3df1f86c25b,2026-09-15T20:33:38+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,25,ubi9-minimal,jdk,updated,ok,official,registry.access.redhat.com/ubi9/openjdk-25,514658304,514.7,184535856,184.5,276.9,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,25.0.4.1,25.0.4.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,15,182,92,0,289,0,0,0,0,0,0,registry.access.redhat.com/ubi9/openjdk-25,registry.access.redhat.com/ubi9/openjdk-25@sha256:77a5b8f211a56fbec3df0627bc42560cbed38ce9dd42f2082c1ac3df1f86c25b,2026-09-15T20:33:44+00:00,6,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,25,ubi9-minimal,jre,base,ok,official,registry.access.redhat.com/ubi9/openjdk-25-runtime,450244608,450.2,153802820,153.8,264.1,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,25.0.4.1,25.0.4.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,10,130,86,0,226,0,0,1,0,0,1,registry.access.redhat.com/ubi9/openjdk-25-runtime,registry.access.redhat.com/ubi9/openjdk-25-runtime@sha256:44ef59ac2c7eff45d657857fdd51716b710c7b25115b442478f23312dce6ff8c,2026-09-15T20:33:44+00:00,0,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,25,ubi9-minimal,jre,updated,ok,official,registry.access.redhat.com/ubi9/openjdk-25-runtime,472645632,472.6,160259801,160.3,264.1,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,25.0.4.1,25.0.4.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,10,129,86,0,225,0,0,0,0,0,0,registry.access.redhat.com/ubi9/openjdk-25-runtime,registry.access.redhat.com/ubi9/openjdk-25-runtime@sha256:44ef59ac2c7eff45d657857fdd51716b710c7b25115b442478f23312dce6ff8c,2026-09-15T20:33:52+00:00,8,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,25,ubi9,jdk,updated,ok,repo,java-25-openjdk-devel,553197568,553.2,190920100,190.9,276.9,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,25.0.4.1,25.0.4.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,18,185,252,0,455,0,0,0,0,0,0,registry.access.redhat.com/ubi9/ubi:latest,registry.access.redhat.com/ubi9/ubi@sha256:c5cc9c221baa8eb13093f90c31bb58c04d83f6afd14510d3496691f92566f99e,2026-09-15T20:33:57+00:00,13,0.73.0,2026-09-15T07:08:16.463168542Z,
redhat,25,ubi9,jre,updated,ok,repo,java-25-openjdk-headless,528474112,528.5,178481828,178.5,264.1,rhel,9.8,Red Hat Enterprise Linux 9.8 (Plow),glibc,2.34,25.0.4.1,25.0.4.1+1-LTS,"Red Hat, Inc.",OpenJDK 64-Bit Server VM,redhat 9.8,False,0,13,169,250,0,432,0,0,0,0,0,0,registry.access.redhat.com/ubi9/ubi:latest,registry.access.redhat.com/ubi9/ubi@sha256:c5cc9c221baa8eb13093f90c31bb58c04d83f6afd14510d3496691f92566f99e,2026-09-15T20:33:56+00:00,9,0.73.0,2026-09-15T07:08:16.463168542Z,
